ID,Title,Avg
11,Star Wars,76.496
62,2001: A Space Odyssey,39.064
152,Star Trek: The Motion Picture,26.551
154,Star Trek II: The Wrath of Khan,17.266
157,Star Trek III: The Search for Spock,17.008
168,Star Trek IV: The Voyage Home,17.747
172,Star Trek V: The Final Frontier,18.588
174,Star Trek VI: The Undiscovered Country,10.975
193,Star Trek: Generations,10.921
199,Star Trek: First Contact,22.78
200,Star Trek: Insurrection,17.369
201,Star Trek: Nemesis,22.021
212,Arsenic and Old Lace,12.55
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",31.61
563,Starship Troopers,22.141
679,Aliens,29.666
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,21.628
940,The Lady Vanishes,14.034
1410,Dark Star,8.462
1771,Captain America: The First Avenger,25.99
1884,The Ewok Adventure,11.998
1891,The Empire Strikes Back,27.13
1892,Return of the Jedi,24.305
1893,Star Wars: Episode I - The Phantom Menace,28.646
1894,Star Wars: Episode II - Attack of the Clones,25.394
1895,Star Wars: Episode III - Revenge of the Sith,27.07
2102,Solar Crisis,4.675
2115,Light of Day,3.617
2164,Stargate,21.584
2215,Star-Crossed Lovers,1.049
2270,Stardust,17.121
2357,10 Items or Less,8.451
2405,Joseph,9.818
2712,Jacob,5.341
2719,Moses,4.206
2748,Journey to Italy,9.854
2764,All Stars,2.448
2909,In the Dust of the Stars,4.747
3111,A Star Is Born,11.519
3480,The Old Gun,7.453
4338,I Woke Up Early the Day I Died,5.54
4826,Five Moons Plaza,5.048
4834,Starke Zeiten,1.544
4959,The International,15.741
5506,The Ladykillers,8.835
5516,The Ladykillers,14.377
6436,Star Command,2.773
6977,No Country for Old Men,23.01
7288,Duplex,14.948
7508,Like Stars on Earth,12.084
8413,Event Horizon,17.281
8859,"Dude, Where's My Car?",16.274
9384,Starsky & Hutch,17.678
9425,Soldier,18.62
9663,Starman,12.866
9784,Man About Town,6.895
9820,The Parent Trap,20.059
9821,The Mighty,6.857
9989,Antitrust,10.754
10044,My Lucky Stars,13.775
10243,The Flight of the Phoenix,7.48
10304,Starship Troopers 2: Hero of the Federation,15.312
10313,The Men Who Stare at Goats,12.426
10349,The Dark Half,14.095
10372,Ewoks: The Battle for Endor,13.285
10696,Glitter,8.732
10768,Omen III: The Final Conflict,14.567
10869,Herbie Rides Again,11.253
10975,Operation Condor,22.862
11049,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,9.081
11052,Yu-Gi-Oh! The Movie,14.23
11127,Starship Troopers 3: Marauder,13.497
11132,Confessions of a Teenage Drama Queen,11.811
11243,The Care Bears Movie,10.34
11331,The Old Man and the Sea,6.975
11337,Stardust Memories,9.148
11451,Herbie Fully Loaded,19.688
11467,America's Sweethearts,16.657
11607,DeepStar Six,11.535
11679,xXx: State of the Union,20.763
11884,The Last Starfighter,12.269
11900,Even Dwarfs Started Small,4.294
12180,Star Wars: The Clone Wars,18.263
12410,Good,5.19
12508,Rock Star,15.098
12599,Pokémon: The Movie 2000,16.28
12633,The Star Chamber,10.058
12697,Laura's Star,5.6
12775,Flesh + Blood,10.643
12914,Stargate: Continuum,12.545
13001,Stargate: The Ark of Truth,8.937
13053,Bolt,28.743
13076,Starting Out in the Evening,3.667
13092,How to Lose Friends & Alienate People,15.269
13171,The Ex,11.174
13243,Meet Bill,14.346
13386,I'm Starting from Three,6.218
13475,Star Trek,26.704
13476,Win a Date with Tad Hamilton!,11.133
13654,101 Dalmatians II: Patch's London Adventure,21.957
13705,The Christmas Star,5.452
13721,Half Past Dead 2,4.791
13739,Quatre étoiles,5.012
13778,Dickie Roberts: Former Child Star,11.772
13907,Kurt & Courtney,8.381
13955,Beethoven's Big Break,7.319
14055,Starter for 10,7.33
14249,Revenge,9.632
14268,Startup.com,6.1
14428,Who's Your Monkey?,1.954
14460,Battle Beyond the Stars,7.586
14809,Stark Raving Mad,7.821
14857,Personal Effects,7.12
15438,My Stars,5.664
15493,Star Wreck: In the Pirkinning,3.881
15494,Starflight: The Plane That Couldn't Land,3.73
15616,Private Valentine: Blonde & Dangerous,10.217
15713,The First Star,5.38
15921,Starko!,0.839
16012,"Old, New, Borrowed and Blue",2.481
16068,Babylon 5: The Legend of the Rangers - To Live and Die in Starlight,6.581
16187,Buzz Lightyear of Star Command: The Adventure Begins,17.493
16202,Cedric the Entertainer: Starting Lineup,2.025
16538,"I Love You, Man",26.253
16784,Welcome to Mooseport,8.698
17160,WWE: Greatest Wrestling Stars of the '90s,4.215
17237,The Moon and the Stars,2.557
17575,Only Clouds Move the Stars,2.121
17695,John Pinette: I'm Starvin'!,3.493
17938,First Spaceship on Venus,3.326
18122,The Inhabited Island 2: Rebellion,4.896
18231,Star Trek: Of Gods And Men,4.864
18419,Shooting Stars,4.431
18639,Flaming Star,4.357
18648,Under California Stars,1.659
18666,New Fist of Fury,11.305
18707,"Twinkle, Twinkle, Lucky Stars",10.242
18815,Glowing Stars,4.908
18823,Clash of the Titans,27.574
19256,Mobile Suit Zeta Gundam A New Translation I: Heirs to the Stars,3.13
19358,Angels & Airwaves: Start the Machine,2.146
19371,Mr. Nanny,11.249
19610,A Star Is Born,7.674
19753,Start the Revolution Without Me,4.171
19877,Fist of the North Star,8.197
20043,Royal Space Force - The Wings Of Honneamise,6.663
20372,Nine Lives,3.68
20737,Air Bud,10.399
20787,The Man Who Saves The World,3.017
20932,Father Frost,6.689
20947,Moscow-Cassiopeia,2.351
21188,Goat Story,1.49
21536,Starkweather,2.698
21629,Stir Crazy,9.378
22049,Starcrash,6.959
22355,Wickie the Mighty Viking,7.275
22599,Star,6.533
22692,A Star Is Born,6.606
22701,Attack from Space,2.517
22788,All Star Comedy Jam,4.628
22949,Old Dogs,15.754
23367,Bandslam,9.944
23452,Gurren Lagann The Movie: The Lights in the Sky Are Stars,7.872
24189,The Missing Star,2.211
24225,Afghan Star,4.478
24241,And Starring Pancho Villa as Himself,4.159
24271,The Maiden Heist,10.157
24551,Dark Resurrection,1.06
24865,Star Quest: The Odyssey,2.181
25539,Winners & Sinners,13.348
25741,The Flight Before Christmas,9.966
25992,Bible Code,2.755
26261,Cops & Robbersons,10.944
26300,Fist of the North Star,5.23
26748,Lone Star,13.027
26873,To The Stars By Hard Ways,2.45
26965,The Captains' Summit,5.136
27196,Stardust,3.22
27408,Never Too Young to Die,3.249
27441,Countdown,5.303
27539,The Star,1.921
27681,Wish Upon a Star,6.106
27775,Starforce,2.344
28124,Seems Like Old Times,9.121
28150,Press Start,1.17
28678,Ironmaster,5.052
28892,Ballet,4.432
29891,Star Hunter,2.149
29963,Bright Star,8.434
30054,The Tin Star,5.838
30062,Eaten Alive,9.24
30203,Star Runners,5.314
30285,The Evening Star,4.493
30545,Dogging: A Love Story,2.848
30593,Heavy Traffic,6.139
30597,Ultraman Tiga & Ultraman Dyna: Warriors of the Star of Light,3.738
30606,Mobile Suit Zeta Gundam A New Translation III: Love is the Pulse of the Stars,5.396
30707,Star 80,5.035
31122,The Starfighters,3.938
31277,Popstar,6.704
31279,Turks in Space,3.572
31447,Jethro: Stark Raving Bonkers,0.6
31654,The Strongest Man in the World,5.68
32147,Starchaser: The Legend of Orin,5.099
32273,It All Starts Today,4.5
32488,Days of Wine and Roses,5.89
32823,Get Him to the Greek,16.553
33112,It Started with Eve,3.385
33276,WWE: John Morrison- Rock Star,1.955
33339,Camp,6.409
33525,Morons from Outer Space,5.139
33717,Bob the Builder - Race to the Finish,0.6
33754,Scared Stiff,3.306
33786,Starring Maja,1.963
33838,The Care Bears Adventure in Wonderland,6.663
34111,Jojo in the Stars,2.381
34375,The Five Star Stories,3.851
34719,Stargaze - Hubble's View of the Universe,0.655
34759,Ziggy Stardust and the Spiders from Mars,5.486
35021,The Old Fairy Tale: When the Sun Was God,2.894
35225,Lone Star State of Mind,5.296
35558,Starstruck,18.7
35698,The Star of Bethlehem,2.645
35730,Amateur Porn Star Killer 3: The Final Chapter,0.873
35731,Amateur Porn Star Killer 2,1.4
35733,Amateur Porn Star Killer,2.872
35780,Thunderbirds are GO,5.503
35795,From 'Star Wars' to 'Jedi' : The Making of a Saga,3.614
36352,Northern Star,0.6
36790,Uncross The Stars,4.629
37031,Doug Anthony All Stars,0.6
37129,Only Old Men Are Going to Battle,7.546
37518,Star Wait,1.272
37593,Lone Star,4.226
37744,Rocketship X-M,4.904
37910,Voices of a Distant Star,8.701
37975,The Star Maker,5.544
38107,The Star Packer,4.509
38151,It Started in Naples,5.014
38380,Follow a Star,3.359
38577,The Old Man and the Sea,6.653
39100,Dragon Ball Z: The World's Strongest,12.469
39255,The 4 Complete Ed Sullivan Shows Starring The Beatles,1.447
39337,Lewis Black: Stark Raving Black,4.139
39373,Jack Hunter and the Star of Heaven,5.724
39439,Radio Star,0.779
39555,You Are Not Alone,4.331
39863,Star of David: Beauty Hunting,5.05
40611,"The Lion, the Witch and the Wardrobe",3.291
40643,X-15,4.677
40658,Starsuckers,2.771
40890,How the War Started on My Island,2.321
41142,Under the North Star,3.969
41544,Look for a Star,3.618
41747,Childstar,3.605
41808,True Confessions of a Hollywood Starlet,6.641
41926,Starrbooty,2.086
42031,Hour of the Star,2.344
42130,The Night of the Shooting Stars,7.403
42209,The Bunglers In The Planet Wars,3.046
42243,The Bingo Long Traveling All-Stars & Motor Kings,3.751
42376,Earth Star Voyager,3.494
42455,And Now the Screaming Starts!,3.067
42502,The Brute,3.165
42542,Starship Invasions,6.628
42580,Life with Mikey,9.578
42669,Five Star Final,3.303
42701,The Shooting,4.185
42833,Two Eyes Staring,2.95
42979,Robot Chicken: Star Wars,8.665
42982,Robot Chicken: Star Wars Episode II,6.668
43190,Starflam Faites Du Bruit,0.6
43266,How Green Was My Valley,11.168
43319,Man Without a Star,6.792
43365,Stars and Stripes Forever,3.128
43514,Thank Your Lucky Stars,3.672
43564,StarGaze HD: Universal Beauty,1.053
43848,My Lucky Star,2.837
43997,Divorcing Jack,5.884
44087,The Way to the Stars,3.056
44279,Starcrossed,4.623
44630,Aces High,3.542
44772,No Small Affair,5.11
44809,Dinocroc vs. Supergator,6.474
44846,Looney Tunes Super Stars Bugs Bunny: Hare Extraordinaire,2.005
44988,Grown Up Movie Star,2.624
45296,Galaxis,5.331
45833,Confessions of an Action Star,4.589
46010,Old Men: Robbers,3.492
46076,Invasion of the Star Creatures,1.609
46199,Johnny Castle Rising Star,0.6
46314,Hugo the Movie Star,4.259
46954,Laura's Star and the Mysterious Dragon Nian,2.415
47049,Der Stern von Afrika,1.783
47070,Brenda Starr,7.738
47296,Rainbow Brite and the Star Stealer,6.438
47302,Stardom,4.073
47441,Savage Souls,3.573
47603,"DAAS - Doug Anthony All Stars, Dead and Alive",0.6
47605,War of the Planets,2.687
47931,Elite Squad: The Enemy Within,13.251
48127,The North Star,2.491
48347,The Old Lady and the Pigeons,2.775
48721,Stars,1.4
48862,Unhook the Stars,4.908
49069,The Apple,3.712
49198,Laura's Star Xmas Special,2.131
49245,Yogi Bear's All-Star Comedy Christmas Caper,6.361
49409,Starstruck,2.638
49640,The Lawless Frontier,4.219
50183,The Ascent,9.274
50296,First Time Felon,5.463
50562,Porn Star: The Legend of Ron Jeremy,5.799
50948,Blaze Starr Goes Nudist,3.671
51857,Cría cuervos…,6.001
51888,Robot Chicken: Star Wars Episode III,8.651
52952,Charlie Brown's All-Stars,3.132
52959,Star!,3.427
53041,One Love - The Bob Marley All-Star Tribute,0.697
53118,Alvin and the Chipmunks Go to the Movies: Star Wreck,0.84
53170,Jerseys in the Rafters: Carolina's Greatest Stars,0.6
53313,Star Trek: 30 Years and Beyond,2.252
53372,The Star Boarder,2.836
53863,Star of Midnight,2.237
54007,Star Kid,5.227
54138,Star Trek Into Darkness,26.068
54150,Nin x Nin: The Ninja Star Hattori,1.4
54474,The Star,3.523
54634,Under the Stars,0.6
54663,Starting Over,2.964
54713,Starfish Hotel,0.84
54982,Introducing Dorothy Dandridge,5.262
55138,Barking at the Stars,4.041
55302,Relative Values,3.877
56194,Follow the Stars Home,2.831
56316,Rail of the Star - A True Story of Children and War,0.6
56323,Kicks,2.222
56565,2012 Startling New Secrets,0.695
56590,All Star Superman,11.262
56638,Let There Be Light: The Odyssey of Dark Star,1.826
56650,Barney's Christmas Star,1.209
56710,Fit to Be Tied,3.507
56841,A Thousand Times Stronger,3.326
56875,The Viking Watch of the Danish Seaman,0.704
57781,Old Hags,1.553
57869,Precure All Stars Movie DX2: The Light of Hope - Protect the Rainbow Jewel!,1.043
58287,Position Among the Stars,1.024
58421,Ignition,2.591
58426,Paper Star,1.186
58508,Far Far Away Idol,10.046
58694,The French Detective,6.656
58767,Sniper: Reloaded,10.679
59001,"Take That: Look Back, Don't Stare",3.603
59239,The Cloud-Capped Star,4.712
59408,Deep End,7.545
59860,Monte Carlo,23.898
60126,Press Start 2 Continue,1.069
60209,Garrincha: Lonely Star,1.96
60332,Coheed and Cambria Live at the Starland Ballroom,0.84
60382,Bratz the Video: Starrin' & Stylin',3.791
60725,Star One: Live on Earth,0.6
61187,Star Runner,2.038
61341,Ferocious Planet,5.745
61862,The Southern Star,6.791
61904,Lady Terminator,3.582
62817,Porn Star?,0.831
62830,Starvengers,1.4
62855,Prince of Space,3.788
63030,Lucky Stars Go Places,4.574
63031,Return of the Lucky Stars,3.271
63032,Ghost Punting,2.798
63033,How to Meet the Lucky Stars,1.449
63206,Fantastic Flesh: The Art of Make-Up EFX,3.046
63285,WWE: The Greatest Wrestling Stars of the 80's,0.84
63409,Star Vehicle,0.6
63497,Starship,2.295
63611,Under the Stars,1.387
63777,Hellbound,7.057
63872,Second Chances,3.865
64214,Mission Stardust,2.421
64773,Mobile Suit Gundam SEED C.E. 73: Stargazer,3.414
64802,Love! Valour! Compassion!,2.544
64804,Starslyderz,0.6
65083,The Beginning : Making 'Episode I',4.245
65107,The Elder Son,3.516
65136,The Old New Year,2.126
65326,Nobody's Fool,3.555
65364,Sexual Predator,8.343
65713,Seven Old Men and One Girl,3.807
65714,Little Big Panda,1.436
65890,Green Gold,4.967
66047,Odysseus and the Stars,0.93
66654,Shoot or Be Shot!,1.252
66845,Freddie Starr Live,0.6
67260,Whitesnake - Starkers In Tokyo,0.831
67524,Stand-Ins,1.688
67530,The Lords of Discipline,2.633
67571,The Art of Skiing,2.068
67683,"Shine, Shine, My Star",1.208
67911,Bucky Larson: Born to Be a Star,12.392
67949,The Secret Lives of Adult Stars,6.002
68171,Star Slammer,4.103
68544,1000 Yard Stare,0.872
69900,Star Crystal,2.531
70468,Child Star: The Shirley Temple Story,2.532
70608,Lego Star Wars: The Padawan Menace,8.084
70634,Schoolgirl Report Part 10: Every Girl Starts Sometime...,4.508
71036,Kick Start 2,0.6
71103,Old Man Khottabych,6.135
71559,Love Like Poison,1.938
71695,A Star Named Ayrton Senna,1.162
72090,Eyes Behind the Stars,1.96
72448,Star Wars: A Musical Journey,2.027
72473,Belle Starr,3.805
72476,Sesame Street: All-Star Alphabet,1.383
72681,The Ming Patriots,1.257
72694,The Making of Star Wars,3.618
72720,Hot Wheels Acceleracers: Ignition,8.043
72824,El  caballero del dragón,2.502
73067,Frankie Starlight,1.733
73246,All Star Comedy Jam: Live from Dallas,0.6
73320,Stargazer,1.242
73353,Man in the Mirror: The Michael Jackson Story,2.853
73546,The Captivating Star of Happiness,4.146
73658,SuperBand Live In Taipei: The Start And Final Stop,0.6
73826,"Exit the Dragon, Enter the Tiger",1.4
73995,Stardust,5.373
74233,Chatur Singh Two Star,0.791
74465,We Bought a Zoo,14.292
74638,Stardust: The Bette Davis Story,2.069
74839,Star Odyssey,3.664
74849,The Star Wars Holiday Special,8.197
74891,Lone Star - Scene,0.6
75170,Third Star,7.888
75974,Hannah Montana: Livin' the Rock Star Life!,3.595
76180,Empire of Dreams: The Story of the Star Wars Trilogy,11.558
76456,Nydenion,0.944
76731,Odin: Starlight Mutiny,1.286
76784,All Stars 2: Old Stars,2.801
77063,Old Men: Colonels,0.622
77509,May Stars,0.901
77622,The State's 43rd Annual All-Star Halloween Special,0.6
77700,The North Star,2.48
77718,The Lucky Bride,0.6
77996,Street Stars: The Larry Davis Story,0.6
78155,The Light of Western Stars,0.841
78387,Heber Holiday,2.296
78734,In Old Chicago,2.386
79009,The End of Old Times,1.831
79108,Starbuck,6.336
79156,9 Star Hotel,0.6
79158,LEGO Star Wars: Bombad Bounty,2.721
79235,Wandering Stars,0.873
79775,The Old Man and the Sea,4.508
80203,Les lionnes de la rivière de sable,0.6
80244,A Very Old Story,3.497
80333,Dark Spirits,2.523
80339,Star Pilot,3.555
80511,Starshaped,2.104
80518,Fullmetal Alchemist The Movie: The Sacred Star of Milos,9.189
80527,Stargate SG-1: Children of the Gods,13.933
80687,Stark Fear,1.061
80769,Star Dust,1.771
80920,Repentance,4.563
81191,The Double Wrist Lock starring Billy Robinson,0.6
81233,LEGO Star Wars: The Quest for R2-D2,2.86
81234,Lego Star Wars: Revenge of The Brick,2.467
81250,Geek Charming,17.397
81418,Star Wars: Deleted Magic,3.12
81847,The Dawn Patrol,4.778
81882,Starcrossed,5.771
81887,Murder by Phone,4.285
81899,Trek Nation,3.737
81931,Girl from Starship Venus,4.18
81994,Bandit Goes Country,3.819
82512,Bad Starters,1.922
82627,Man On a Mission: Richard Garriott's Road to the Stars,0.953
82651,Ringo Starr and the Roundheads - Live,3.018
82938,Five Star Day,5.018
83794,Hare-Way to the Stars,3.87
84030,Prince and the Evening Star,4.968
84147,Star Crossed,1.359
84155,Precure All Stars Movie DX3: Deliver The Future! The Rainbow-Colored Flower That Connects The World,1.4
84160,Precure All Stars Movie DX: Everyone is a Friend - A Miracle All Precures Together,2.196
84656,Fires Were Started,5.038
84748,Xuxa Popstar,2.415
85013,Hyper Sapien: People from Another Star,0.707
85110,Dog Star Man: Part I,4.025
85198,Frightmare,2.526
85296,Die Operngala der Stars (Baden Baden 2007),0.6
85444,Wrinkles,4.956
85678,Under Western Stars,3.281
85783,The Star,4.325
85878,Starry Starry Night,5.82
86280,Star Spangled to Death,3.735
87520,Starwoids,0.901
87812,Beam me Up! – Die große Star Trek Show,1.758
88387,Simply Red - Stars,1.263
89496,Banner of the Stars,0.871
89609,Universal Soldiers,3.799
89674,An Unnamed Star,3.837
89875,Starling and Lyre,0.665
90055,I Give you a Star,0.6
90265,Khalif The Stork,3.045
91679,Starlet,9.168
91961,The Star Witness,3.527
92292,Star Spangled Girl,0.6
92331,Beyond the Stars,4.161
92657,Lick the Star,2.627
93520,The Starfish,1.581
94502,Starship,3.509
95765,The Lone Star Trail,1.741
96243,I Start Counting,2.31
96592,Defcon 2012,3.443
96876,Riders to the Stars,2.489
97056,Stars to Wish Upon,0.915
97295,Lucky Star,2.435
97413,Doug Anthony All Stars: Live at the National Theatre,0.6
97441,How to Start a Revolution,2.413
97836,È nata una Star?,5.224
98016,Star Tours,2.802
98169,Everyone Stares: The Police Inside Out,1.4
98864,Resurrection,2.679
99139,Five Star,1.957
99592,I Aim at the Stars,0.991
99820,Video Killed The Radio Star,0.639
99942,Porn Star Zombies,2.481
100198,Tinke the Wolfgirl,1.539
101652,Erotic Games in the Third Galaxy,2.5
102082,The McConnell Story,1.302
102817,Quentin Tarantino's Star Wars,0.6
103091,All-Star Party for Frank Sinatra,0.876
103434,My Scene Goes Hollywood: The Movie,3.987
103443,Dharma Guns,1.308
103649,The War Starts in Cuba,1.608
103751,Under the North Star II,1.552
103752,"Here, Beneath the North Star",2.113
103901,My Big Fat Father,3.189
104173,The Belle Starr Story,2.279
104815,Natural Born Star,0.6
105231,Fist of the North Star: The Legend of Kenshiro,5.303
105576,The Old Maid,4.242
105981,Lucky Star,2.474
106797,Star-Crossed Love,0.722
107104,Beyond the Rising Moon,3.81
107357,The Man Who Wouldn't Die,1.88
107844,Jefferson Starship: The Definitive Concert,0.6
108220,Star Spangled Rhythm,3.873
108401,Star Maps,2.979
108782,Like a Star Shining in the Night,1.865
109080,Fist of the North Star: Legend of Raoh - Chapter of Death in Love,5.927
109763,Dead Start,0.6
110354,Side by Side,9.028
110371,She Likes Red Star,0.6
110541,Strength in Numbers,1.115
110741,The General Line,5.356
111076,The Old School of Capitalism,1.058
111100,Boy Meets Girl,2.346
111378,Star Watching Dog,1.878
111390,Stars in My Crown,3.528
111942,Star in the Dust,2.17
112051,Das haut den stärksten Zwilling um,1.618
112360,Love Stars,1.4
112438,Tri-Star,2.649
112971,Film Star,1.287
113095,Sky without Stars,2.457
113137,The Book of Stars,1.16
113249,Starlit High Noon,1.187
113322,One Night One Star: Usher Live,0.6
113859,Start The Fire,0.6
113916,The General Died at Dawn,3.082
114370,Fist of the North Star: Legend of Yuria,6.248
114371,Fist of the North Star: Legend of Toki,4.678
114372,Fist of the North Star: Legend of Raoh - Chapter of Fierce Fight,6.814
114478,Starship Troopers: Invasion,17.063
114525,In the Shadow of the Stars,1.425
115189,Louis Theroux: Twilight of the Porn Stars,5.518
115626,Stuck in the Suburbs,11.081
115830,The Baron Against the Demons,1.4
115929,Cool Kids Don't Cry,8.408
116265,Second Star to the Left,5.847
117349,Esper Mami: Hoshizora no Dancing Doll,1.044
117582,Chaplin's Goliath,2.382
118155,Star Force: Fugitive Alien II,1.565
118181,The Warlord: Battle for the Galaxy,0.873
119288,Three Stars,1.105
119399,Strongman Ferdinand,1.58
119702,Velvet Hustler,1.4
119893,An American Girl: McKenna Shoots for the Stars,25.034
120422,Precure All Stars New Stage Movie: Friends of the Future,1.308
120595,Star Quality,0.6
120985,New Fist of the North Star: The Cursed City,3.681
121824,Stand Up Guys,13.326
122503,How to Start Your Own Country,0.6
123000,Easy Star All-Stars: Dub Side of the Moon Live,0.6
123018,My Lucky Star,1.271
123774,Starstruck,0.6
124117,Pixel Perfect,5.707
124316,To the Starry Island,2.792
124414,Pictures of the Old World,3.12
125225,Star,0.6
125289,Super Star,0.6
125470,George and the Christmas Star,1.001
125794,Be My Star,1.641
125889,Stars and the Water Carriers,3.676
126187,The Stars Are Beautiful,4.438
126595,Bar Starz,0.842
126692,Prelude: Dog Star Man,3.907
126718,Amy Winehouse: Fallen Star,2.188
127030,A Star and Two Coffees,0.6
127040,Pick a Star,1.101
127148,Dog Star Man: Part II,3.235
127320,Dog Star Man: Part III,3.606
127323,Dog Star Man: Part IV,4.195
128295,Star Wars: The Legacy Revealed,4.714
128486,The Screaming Tiger,1.721
128825,Start Cheering,2.017
128882,"Shoot, Gringo... Shoot!",1.861
129033,Wyclef Jean: All Star Jam at Carnegie Hall,0.805
129628,Stars & Bars,3.801
129863,Demolishing and Building Up the Star Theatre,2.358
129870,Black Starlet,0.6
130625,Love Starts at Midnight,0.845
130654,Star Without Light,1.4
130691,The Dark Redemption,0.937
130772,Starlight and Superfish,1.714
131079,Watch It,1.823
131229,A Sky Full of Stars for a Roof,3.21
131477,Dark Resurrection Volume 0,0.996
131922,Highway Star,2.156
133516,The Rolling Stones: All Six Ed Sullivan Shows Starring The Rolling Stones,0.899
134554,Starry Night,0.6
134642,All Star Comedy Jam: Live from Orlando,1.919
135382,André Rieu - Under The Stars: Live In Maastricht V,0.6
136066,Stars In Shorts,3.082
136171,Machen wir's auf Finnisch,1.4
136244,Star,3.582
136406,LEGO Star Wars: The Empire Strikes Out,7.084
136678,The Yellow Star: The Persecution of the Jews in Europe - 1933-1945,0.6
137063,The Laughing Star,0.6
137093,Last Vegas,15.419
137726,The Departure,2.857
137941,Starlight Hotel,1.249
138374,Stardust on the Sage,1.521
138550,The Star Making Machine,1.031
138628,NWA Starrcade 1984,1.606
139156,Stars 80,7.075
139251,I Married Who?,7.664
139283,Bobby Bumps Starts for School,0.747
139408,The Stars Fell on Henrietta,3.412
140549,No Greater Love,1.777
140607,Star Wars: The Force Awakens,36.543
141817,Plimpton! Starring George Plimpton as Himself,1.664
142825,House Under the Starry Skies,1.774
142831,Star and Death of Joaquin Murrieta,1.34
142932,And Satan Calls the Turns,0.871
143760,Starblack,1.161
144390,The Startup Kids,1.833
144728,"The Stars Will Tell, Inspector Palmu",2.244
145247,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,14.109
145803,The Star of Bethlehem,2.352
146116,My Lucky Star,1.69
147950,The Romancing Star,1.491
148078,When You Wish Upon A Star,0.962
148466,"Stars, Skis & Hucks",0.6
148607,Heavy Metal Mater,6.971
148861,The Light of Western Stars,0.824
148980,Battlestar Galactica,8.349
149427,Journey to the Christmas Star,7.254
149762,A Chance of Snow,1.553
149836,Stardust Stricken - Mohsen Makhmalbaf: A Portrait,0.841
150209,Jingle & Bell's Christmas Star,1.256
150434,Pretty Cure Splash☆Star Tic-Tac Crisis Hanging by a Thin Thread!,2.595
150476,Out Where the Stars Begin,0.627
150604,Star in the Night,2.127
150912,Goliath and the Sins of Babylon,1.863
151867,Under Southern Stars,0.841
152284,The Romancing Star III,1.4
152291,The Romancing Star II,2.15
152448,Phish: Star Lake 98,0.6
153955,All Star Sports Day,0.843
154271,Fire Groove All Stars vol 1,0.6
154308,Morning Star,0.84
154452,Star Wars Tech,1.312
